tweet_id,retweet_count,reply_count,like_count,quote_count
1585692605060300800,1790,0,0,0
1585692605060300800,1790,0,0,0
1585692605060300800,1790,0,0,0
1585692605060300800,1790,0,0,0
1585692605060300800,1790,0,0,0
1585692605060300800,1790,0,0,0
1585692597443493904,0,1,4,0
1585692597443493904,0,1,4,0
1585692597443493904,0,1,4,0
1585692597443493904,0,1,4,0
1585692597443493904,0,1,4,0
1585692597443493904,0,1,4,0
1585692589897838592,1,6,25,0
1585692589897838592,1,6,25,0
1585692589897838592,1,6,25,0
1585692589897838592,1,6,25,0
1585692589327466496,0,1,0,0
1585692589327466496,0,1,0,0
1585692589327466496,0,1,0,0
1585692589327466496,0,1,0,0
1585692589327466496,0,1,0,0
1585692589327466496,0,1,0,0
1585692588517957632,217,0,0,0
1585692588517957632,217,0,0,0
1585692588517957632,217,0,0,0
1585692588517957632,217,0,0,0
1585692588517957632,217,0,0,0
1585692588517957632,217,0,0,0
1585692571216510991,1790,0,0,0
1585692571216510991,1790,0,0,0
1585692571216510991,1790,0,0,0
1585692571216510991,1790,0,0,0
1585692571216510991,1790,0,0,0
1585692568167202816,2580,0,0,0
1585692568167202816,2580,0,0,0
1585692568167202816,2580,0,0,0
1585692568167202816,2580,0,0,0
1585692568167202816,2580,0,0,0
1585692568167202816,2580,0,0,0
1585692560437043201,0,1,2,0
1585692560437043201,0,1,2,0
1585692560437043201,0,1,2,0
1585692560437043201,0,1,2,0
1585692560437043201,0,1,2,0
1585692560437043201,0,1,2,0
1585692555143827456,0,0,0,0
1585692555143827456,0,0,0,0
1585692555143827456,0,0,0,0
1585692555143827456,0,0,0,0
1585692547128623113,232,0,0,0
1585692547128623113,232,0,0,0
1585692547128623113,232,0,0,0
1585692547128623113,232,0,0,0
1585692547128623113,232,0,0,0
1585692538929053696,0,0,0,0
1585692538929053696,0,0,0,0
1585692538929053696,0,0,0,0
1585692538929053696,0,0,0,0
1585692538929053696,0,0,0,0
1585692532406595584,0,0,0,0
1585692532406595584,0,0,0,0
1585692532406595584,0,0,0,0
1585692532406595584,0,0,0,0
1585692528505782272,0,0,2,1
1585692528505782272,0,0,2,1
1585692528505782272,0,0,2,1
1585692528505782272,0,0,2,1
1585692528505782272,0,0,2,1
1585692528292118528,161,0,0,0
1585692528292118528,161,0,0,0
1585692528292118528,161,0,0,0
1585692528292118528,161,0,0,0
1585692528292118528,161,0,0,0
1585692527361142784,48,0,0,0
1585692527361142784,48,0,0,0
1585692527361142784,48,0,0,0
1585692527361142784,48,0,0,0
1585692527361142784,48,0,0,0
1585692527361142784,48,0,0,0
1585692526064783360,27,0,0,0
1585692526064783360,27,0,0,0
1585692526064783360,27,0,0,0
1585692526064783360,27,0,0,0
1585692526064783360,27,0,0,0
1585692526064783360,27,0,0,0
1585692524726853632,1,0,0,0
1585692524726853632,1,0,0,0
1585692524726853632,1,0,0,0
1585692524726853632,1,0,0,0
1585692524726853632,1,0,0,0
1585692523002880000,0,0,0,0
1585692523002880000,0,0,0,0
1585692523002880000,0,0,0,0
1585692523002880000,0,0,0,0
1585692523002880000,0,0,0,0
1585692523002880000,0,0,0,0
1585692510097113132,0,0,0,0
1585692510097113132,0,0,0,0
1585692510097113132,0,0,0,0
1585692510097113132,0,0,0,0
1585692510097113132,0,0,0,0
1585692510097113132,0,0,0,0
1585692507479760896,673,0,0,0
1585692507479760896,673,0,0,0
1585692507479760896,673,0,0,0
1585692507479760896,673,0,0,0
1585692507479760896,673,0,0,0
1585692507479760896,673,0,0,0
1585692506611933184,512,0,0,0
1585692506611933184,512,0,0,0
1585692506611933184,512,0,0,0
1585692506611933184,512,0,0,0
1585692506611933184,512,0,0,0
1585692506611933184,512,0,0,0
1585692504963547136,0,1,2,0
1585692504963547136,0,1,2,0
1585692504963547136,0,1,2,0
1585692504963547136,0,1,2,0
1585692504963547136,0,1,2,0
1585692504803901520,0,1,1,0
1585692504803901520,0,1,1,0
1585692504803901520,0,1,1,0
1585692504803901520,0,1,1,0
1585692504803901520,0,1,1,0
1585692504803901520,0,1,1,0
1585692501054193675,0,0,0,0
1585692501054193675,0,0,0,0
1585692501054193675,0,0,0,0
1585692501054193675,0,0,0,0
1585692498940555265,0,0,0,0
1585692498940555265,0,0,0,0
1585692498940555265,0,0,0,0
1585692498940555265,0,0,0,0
1585692498940555265,0,0,0,0
1585692498940555265,0,0,0,0
1585692497551949851,0,1,1,0
1585692497551949851,0,1,1,0
1585692497551949851,0,1,1,0
1585692497551949851,0,1,1,0
1585692497551949851,0,1,1,0
1585692497551949851,0,1,1,0
1585692486231461888,316,0,0,0
1585692486231461888,316,0,0,0
1585692486231461888,316,0,0,0
1585692486231461888,316,0,0,0
1585692486231461888,316,0,0,0
1585692486231461888,316,0,0,0
1585692462453882881,1790,0,0,0
1585692462453882881,1790,0,0,0
1585692462453882881,1790,0,0,0
1585692462453882881,1790,0,0,0
1585692462453882881,1790,0,0,0
1585692462453882881,1790,0,0,0
1585692456707817482,1790,0,0,0
1585692456707817482,1790,0,0,0
1585692456707817482,1790,0,0,0
1585692456707817482,1790,0,0,0
1585692456707817482,1790,0,0,0
1585692451804676099,0,0,0,0
1585692451804676099,0,0,0,0
1585692451804676099,0,0,0,0
1585692451804676099,0,0,0,0
1585692451804676099,0,0,0,0
1585692445563441158,0,0,0,0
1585692445563441158,0,0,0,0
1585692445563441158,0,0,0,0
