Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Start Page,End Page,PDF Link,Author Keywords,Reference Count,Publisher,Document Identifier
Trusted Software Supply Chain,K. Singi; J. C. B. R P; S. Podder; A. P. Burden,"Accenture Labs, India; Accenture Labs, India; Accenture Labs, India; Accenture, Singapore",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1212,1213,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952169,"trust, supply chain, provenance, governance, compliance, integrity, smart advisors",4,IEEE,IEEE Conferences
"BuRRiTo: A Framework to Extract, Specify, Verify and Analyze Business Rules",P. K. Chittimalli; K. Anand; S. Pradhan; S. Mitra; C. Prakash; R. Shere; R. Naik,Tata Consultancy Services Ltd.; TCS Research; Tata Consultancy Services Ltd.; Tata Consultancy Services Ltd.; Tata Consultancy Services Ltd.; Tata Consultancy Services Ltd.; Tata Consultancy Services Ltd.; Tata Consultancy Services Ltd.,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1190,1193,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952315,"Business Rules Extraction, Rule Document, Rule Components, SBVR, Natural Language Processing, Text Mining, Graphs, Match and Gap, Search and Query, Source Code",20,IEEE,IEEE Conferences
"Prema: A Tool for Precise Requirements Editing, Modeling and Analysis",Y. Huang; J. Feng; H. Zheng; J. Zhu; S. Wang; S. Jiang; W. Miao; G. Pu,"East China Normal University; East China Normal University; East China Normal University; East China Normal University; East China Normal University; Eastern Michigan University; East China Normal University; Tongji University, China; East China Normal University; Shanghai Trusted Industrial Control Platform Co., Ltd, China",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1166,1169,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952250,formal methods;requirements modeling;requirements verification;formal engineering methods,18,IEEE,IEEE Conferences
Demystifying Application Performance Management Libraries for Android,Y. Tang; X. Zhan; H. Zhou; X. Luo; Z. Xu; Y. Zhou; Q. Yan,The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; Wuhan University; Zhejiang University; Michigan State University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,682,685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952393,Android;Application Performance Management Library;Empirical Study,19,IEEE,IEEE Conferences
Generating Tests to Analyse Dynamically-Typed Programs,S. Lukasczyk,University of Passau,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1226,1229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952500,Dynamic Analysis;Static Analysis;Python;Type Inference;Test Generation,32,IEEE,IEEE Conferences
DeepMutation++: A Mutation Testing Framework for Deep Learning Systems,Q. Hu; L. Ma; X. Xie; B. Yu; Y. Liu; J. Zhao,"Kyushu University, Japan; Kyushu University, Japan; Nanyang Technological University, Singapore; Kyushu University, Japan; Nanyang Technological University, Singapore; Kyushu University, Japan",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1158,1161,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952248,deep learning;mutation testing,11,IEEE,IEEE Conferences
NeuralVis: Visualizing and Interpreting Deep Learning Models,X. Zhang; Z. Yin; Y. Feng; Q. Shi; J. Liu; Z. Chen,Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1106,1109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952427,Visualization;Neural Network Visualization;Program Comprehension,14,IEEE,IEEE Conferences
Improving Collaboration Efficiency in Fork-Based Development,S. Zhou,Carnegie Mellon University,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1218,1221,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952395,"Fork-based Development, Distributed Collaboration, Awareness of Collaboration, Open-Source Community",14,IEEE,IEEE Conferences
An Approach for Investigating Emotion Dynamics in Software Development,K. Neupane,Rochester Institute of Technology,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1268,1270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952358,"Emotion dynamics, emotion awareness, emotion intensity, software development, time-series database",13,IEEE,IEEE Conferences
Inference of Properties from Requirements and Automation of Their Formal Verification,M. Reich,"Chemnitz University of Technology, Airbus Defence and Space GmbH",2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,1222,1225,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952397,"embedded systems, formal verification, specification mining, formal properties, declarative requirement specification",36,IEEE,IEEE Conferences
